scenario,run_id,status,total_distance_km,runtime_seconds,used_trips,total_demand_boxes,route_signature,manual_route_distance_km,manual_single_trip_feasible,improvement_percent
normal,24,HEURISTIC_SOLUTION_FOUND,144.319,10.000148699618876,1,126,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
normal,25,HEURISTIC_SOLUTION_FOUND,144.319,10.00003769993782,1,126,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
normal,26,HEURISTIC_SOLUTION_FOUND,144.319,9.999907299876213,1,126,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
normal,27,HEURISTIC_SOLUTION_FOUND,144.319,10.000365400221199,1,126,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
normal,28,HEURISTIC_SOLUTION_FOUND,144.319,10.00026739994064,1,126,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
normal,29,HEURISTIC_SOLUTION_FOUND,144.319,10.000043299980462,1,126,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
normal,30,HEURISTIC_SOLUTION_FOUND,144.319,10.0003647999838,1,126,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,1,HEURISTIC_SOLUTION_FOUND,144.319,10.000082099810243,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,2,HEURISTIC_SOLUTION_FOUND,144.319,9.999936299864203,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,3,HEURISTIC_SOLUTION_FOUND,144.319,9.999994500074536,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,4,HEURISTIC_SOLUTION_FOUND,144.319,10.000331999734044,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,5,HEURISTIC_SOLUTION_FOUND,144.319,9.999889300204813,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,6,HEURISTIC_SOLUTION_FOUND,144.319,10.00086610019207,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,7,HEURISTIC_SOLUTION_FOUND,144.319,10.000871900003403,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,8,HEURISTIC_SOLUTION_FOUND,144.319,9.999993300065398,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,9,HEURISTIC_SOLUTION_FOUND,144.319,10.000402300152928,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,10,HEURISTIC_SOLUTION_FOUND,144.319,10.000007300172001,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,11,HEURISTIC_SOLUTION_FOUND,144.319,10.000358500052243,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,12,HEURISTIC_SOLUTION_FOUND,144.319,9.99996369984001,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,13,HEURISTIC_SOLUTION_FOUND,144.319,10.000065400265157,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,14,HEURISTIC_SOLUTION_FOUND,144.319,9.999973099678755,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,15,HEURISTIC_SOLUTION_FOUND,144.319,10.000006400048733,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,16,HEURISTIC_SOLUTION_FOUND,144.319,9.99997129989788,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,17,HEURISTIC_SOLUTION_FOUND,144.319,10.000105699989945,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,18,HEURISTIC_SOLUTION_FOUND,144.319,10.000567300245166,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,19,HEURISTIC_SOLUTION_FOUND,144.319,10.000360799953341,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,20,HEURISTIC_SOLUTION_FOUND,144.319,10.000297999940813,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,21,HEURISTIC_SOLUTION_FOUND,144.319,10.000089100096375,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,22,HEURISTIC_SOLUTION_FOUND,144.319,10.000388099811971,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,23,HEURISTIC_SOLUTION_FOUND,144.319,9.999999100342393,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,24,HEURISTIC_SOLUTION_FOUND,144.319,10.000436199828982,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,25,HEURISTIC_SOLUTION_FOUND,144.319,9.999953299760818,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,26,HEURISTIC_SOLUTION_FOUND,144.319,10.000322700012475,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,27,HEURISTIC_SOLUTION_FOUND,144.319,10.000493300147355,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,28,HEURISTIC_SOLUTION_FOUND,144.319,10.0001126001589,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,29,HEURISTIC_SOLUTION_FOUND,144.319,10.000644700136036,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
buffered,30,HEURISTIC_SOLUTION_FOUND,144.319,10.000032800249755,1,152,D -> E -> G -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> F5 -> D,165.97011188763523,True,13.045187257747608
peak,1,HEURISTIC_SOLUTION_FOUND,148.337,10.000021500047296,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,2,HEURISTIC_SOLUTION_FOUND,148.337,10.000581899657845,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,3,HEURISTIC_SOLUTION_FOUND,148.337,10.000204300042242,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,4,HEURISTIC_SOLUTION_FOUND,148.337,10.000062499660999,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,5,HEURISTIC_SOLUTION_FOUND,148.337,10.0000867000781,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,6,HEURISTIC_SOLUTION_FOUND,148.337,10.000857299659401,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,7,HEURISTIC_SOLUTION_FOUND,148.337,9.999999800231308,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,8,HEURISTIC_SOLUTION_FOUND,148.337,10.000268100295216,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,9,HEURISTIC_SOLUTION_FOUND,148.337,10.00020379992202,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,10,HEURISTIC_SOLUTION_FOUND,148.337,10.000665300060064,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,11,HEURISTIC_SOLUTION_FOUND,148.337,9.999863700009882,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,12,HEURISTIC_SOLUTION_FOUND,148.337,10.000106899999082,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,13,HEURISTIC_SOLUTION_FOUND,148.337,10.000261900015175,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,14,HEURISTIC_SOLUTION_FOUND,148.337,10.000206500291824,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,15,HEURISTIC_SOLUTION_FOUND,148.337,10.000162600073963,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,16,HEURISTIC_SOLUTION_FOUND,148.337,10.000028599984944,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,17,HEURISTIC_SOLUTION_FOUND,148.337,10.00007910002023,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,18,HEURISTIC_SOLUTION_FOUND,148.337,10.000337099656463,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,19,HEURISTIC_SOLUTION_FOUND,148.337,10.000014800112695,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,20,HEURISTIC_SOLUTION_FOUND,148.337,9.999998200219125,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,21,HEURISTIC_SOLUTION_FOUND,148.337,10.000120700336993,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,22,HEURISTIC_SOLUTION_FOUND,148.337,10.0000179996714,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,23,HEURISTIC_SOLUTION_FOUND,148.337,10.000350499991328,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,24,HEURISTIC_SOLUTION_FOUND,148.337,10.000269500073045,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,25,HEURISTIC_SOLUTION_FOUND,148.337,10.00012440001592,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,26,HEURISTIC_SOLUTION_FOUND,148.337,10.000163199845701,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,27,HEURISTIC_SOLUTION_FOUND,148.337,10.000183600001037,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,28,HEURISTIC_SOLUTION_FOUND,148.337,10.000066900160164,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,29,HEURISTIC_SOLUTION_FOUND,148.337,10.000079699791968,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
peak,30,HEURISTIC_SOLUTION_FOUND,148.337,10.000117199961096,2,191,D -> F5 -> D || D -> G -> E -> F6 -> F4 -> F7 -> J1 -> J3 -> J6 -> C -> K -> S -> D,165.97011188763523,False,
