origin_index,origin_name,destination_index,destination_name,origin_node_id,destination_node_id,distance_m_full,distance_m_rounded,distance_km_full,reverse_distance_m_full,signed_asymmetry_m,absolute_asymmetry_m
0,D,1,E,13599647452,4712847066,3011.4257671794953,3011,3.0114257671794955,3484.2665835747152,-472.8408163952199,472.8408163952199
0,D,2,G,13599647452,8555971924,2956.8209181005645,2957,2.9568209181005645,3429.661734495785,-472.8408163952204,472.8408163952204
0,D,3,F4,13599647452,10112100807,6619.44067081717,6619,6.61944067081717,6333.444437899516,285.9962329176542,285.9962329176542
0,D,4,F5,13599647452,1846989986,3511.2304595657824,3511,3.5112304595657826,2075.3965785260216,1435.8338810397609,1435.8338810397609
0,D,5,F6,13599647452,6787481813,5281.426477487466,5281,5.281426477487466,5744.988897121103,-463.56241963363664,463.56241963363664
0,D,6,F7,13599647452,4923789165,9679.539917046419,9680,9.67953991704642,10139.161204414133,-459.6212873677141,459.6212873677141
0,D,7,S,13599647452,4927903180,10960.090191568866,10960,10.960090191568867,10887.018309107436,73.0718824614305,73.0718824614305
0,D,8,C,13599647452,329019268,21758.681124362447,21759,21.758681124362447,21123.615788580937,635.0653357815099,635.0653357815099
0,D,9,J1,13599647452,3673059505,26342.25310127069,26342,26.34225310127069,26197.646392608327,144.6067086623625,144.6067086623625
0,D,10,J3,13599647452,3427843037,31587.552763535685,31588,31.587552763535683,31758.542375139376,-170.98961160369072,170.98961160369072
0,D,11,J6,13599647452,493991996,31744.291084877314,31744,31.744291084877315,28087.345740343255,3656.9453445340587,3656.9453445340587
0,D,12,K,13599647452,8485681125,39654.949953709045,39655,39.65494995370904,37373.52005967291,2281.429894036133,2281.429894036133
1,E,0,D,4712847066,13599647452,3484.2665835747152,3484,3.484266583574715,3011.4257671794953,472.8408163952199,472.8408163952199
1,E,2,G,4712847066,8555971924,125.22673578406582,125,0.12522673578406582,125.22673578406582,0.0,0.0
1,E,3,F4,4712847066,10112100807,3959.1346057458563,3959,3.9591346057458563,4082.898259635745,-123.7636538898887,123.7636538898887
1,E,4,F5,4712847066,1846989986,2977.458489925527,2977,2.9774584899255268,3504.597560861123,-527.139070935596,527.139070935596
1,E,5,F6,4712847066,6787481813,2621.1204124161573,2621,2.621120412416157,2630.2501765449047,-9.12976412874741,9.12976412874741
1,E,6,F7,4712847066,4923789165,7019.233851975106,7019,7.019233851975105,7024.422483837934,-5.188631862828515,5.188631862828515
1,E,7,S,4712847066,4927903180,10718.959679504655,10719,10.718959679504655,9937.37616384227,781.5835156623853,781.5835156623853
1,E,8,C,4712847066,329019268,20838.302223902578,20838,20.838302223902577,20173.97364331578,664.3285805867963,664.3285805867963
1,E,9,J1,4712847066,3673059505,23578.84541053446,23579,23.57884541053446,22970.67716076394,608.1682497705224,608.1682497705224
1,E,10,J3,4712847066,3427843037,28824.145072799456,28824,28.824145072799457,28531.573143294983,292.5719295044728,292.5719295044728
1,E,11,J6,4712847066,493991996,28980.883394141085,28981,28.980883394141085,24860.376508498863,4120.506885642222,4120.506885642222
1,E,12,K,4712847066,8485681125,39121.177984068774,39121,39.12117798406877,39144.58868305168,-23.410698982908798,23.410698982908798
2,G,0,D,8555971924,13599647452,3429.661734495785,3430,3.429661734495785,2956.8209181005645,472.8408163952204,472.8408163952204
2,G,1,E,8555971924,4712847066,125.22673578406582,125,0.12522673578406582,125.22673578406582,0.0,0.0
2,G,3,F4,8555971924,10112100807,3904.5297566669256,3905,3.9045297566669257,4028.2934105568143,-123.7636538898887,123.7636538898887
2,G,4,F5,8555971924,1846989986,2922.8536408465966,2923,2.9228536408465966,3449.992711782192,-527.1390709355956,527.1390709355956
2,G,5,F6,8555971924,6787481813,2566.5155633372265,2567,2.5665155633372265,2575.645327465974,-9.12976412874741,9.12976412874741
2,G,6,F7,8555971924,4923789165,6964.629002896175,6965,6.964629002896175,6969.817634759003,-5.188631862828515,5.188631862828515
2,G,7,S,8555971924,4927903180,10664.354830425726,10664,10.664354830425726,9882.771314763339,781.5835156623871,781.5835156623871
2,G,8,C,8555971924,329019268,20809.753574156955,20810,20.809753574156954,20119.36879423685,690.3847799201067,690.3847799201067
2,G,9,J1,8555971924,3673059505,23550.29676078884,23550,23.55029676078884,22942.128511018316,608.1682497705224,608.1682497705224
2,G,10,J3,8555971924,3427843037,28795.596423053834,28796,28.795596423053833,28503.024493549365,292.57192950446915,292.57192950446915
2,G,11,J6,8555971924,493991996,28952.334744395463,28952,28.95233474439546,24831.827858753244,4120.506885642219,4120.506885642219
2,G,12,K,8555971924,8485681125,39066.57313498985,39067,39.06657313498985,39089.98383397275,-23.410698982901522,23.410698982901522
3,F4,0,D,10112100807,13599647452,6333.444437899516,6333,6.333444437899516,6619.44067081717,-285.9962329176542,285.9962329176542
3,F4,1,E,10112100807,4712847066,4082.898259635745,4083,4.082898259635745,3959.1346057458563,123.7636538898887,123.7636538898887
3,F4,2,G,10112100807,8555971924,4028.2934105568143,4028,4.028293410556814,3904.5297566669256,123.7636538898887,123.7636538898887
3,F4,4,F5,10112100807,1846989986,6690.828886562755,6691,6.6908288865627545,5762.039543166282,928.7893433964728,928.7893433964728
3,F4,5,F6,10112100807,6787481813,4431.852064981456,4432,4.431852064981457,4577.562807745517,-145.71074276406034,145.71074276406034
3,F4,6,F7,10112100807,4923789165,5657.198566725518,5657,5.657198566725517,5282.3560643865785,374.8425023389391,374.8425023389391
3,F4,7,S,10112100807,4927903180,14303.474595358999,14303,14.303474595358999,12870.800214162211,1432.674381196788,1432.674381196788
3,F4,8,C,10112100807,329019268,22409.649759276803,22410,22.409649759276803,21986.53387362895,423.11588564785416,423.11588564785416
3,F4,9,J1,10112100807,3673059505,23090.49473906231,23090,23.090494739062308,22540.474761771053,550.0199772912565,550.0199772912565
3,F4,10,J3,10112100807,3427843037,28208.69858614486,28209,28.20869858614486,27910.627520918297,298.0710652265625,298.0710652265625
3,F4,11,J6,10112100807,493991996,28655.270836812484,28655,28.655270836812484,24430.174109505984,4225.0967273065,4225.0967273065
3,F4,12,K,10112100807,8485681125,39323.11310109648,39323,39.32311310109648,40026.453774240035,-703.3406731435534,703.3406731435534
4,F5,0,D,1846989986,13599647452,2075.3965785260216,2075,2.0753965785260218,3511.2304595657824,-1435.8338810397609,1435.8338810397609
4,F5,1,E,1846989986,4712847066,3504.597560861123,3505,3.504597560861123,2977.458489925527,527.139070935596,527.139070935596
4,F5,2,G,1846989986,8555971924,3449.992711782192,3450,3.4499927117821922,2922.8536408465966,527.1390709355956,527.1390709355956
4,F5,3,F4,1846989986,10112100807,5762.039543166282,5762,5.762039543166282,6690.828886562755,-928.7893433964728,928.7893433964728
4,F5,5,F6,1846989986,6787481813,5774.598271169094,5775,5.774598271169094,5238.180803471916,536.4174676971779,536.4174676971779
4,F5,6,F7,1846989986,4923789165,10172.711710728045,10173,10.172711710728045,9632.353110764947,540.3585999630977,540.3585999630977
4,F5,7,S,1846989986,4927903180,11453.261985250492,11453,11.453261985250492,10380.21021545825,1073.0517697922423,1073.0517697922423
4,F5,8,C,1846989986,329019268,22251.852918044075,22252,22.251852918044076,20616.807694931747,1635.0452231123272,1635.0452231123272
4,F5,9,J1,1846989986,3673059505,26835.424894952317,26835,26.835424894952318,25690.838298959137,1144.5865959931798,1144.5865959931798
4,F5,10,J3,1846989986,3427843037,32080.72455721731,32081,32.08072455721731,31251.734281490186,828.9902757271229,828.9902757271229
4,F5,11,J6,1846989986,493991996,32237.462878558938,32237,32.23746287855894,27580.537646694065,4656.925231864872,4656.925231864872
4,F5,12,K,1846989986,8485681125,36669.641390221695,36670,36.6696413902217,39587.42273466764,-2917.781344445946,2917.781344445946
5,F6,0,D,6787481813,13599647452,5744.988897121103,5745,5.744988897121103,5281.426477487466,463.56241963363664,463.56241963363664
5,F6,1,E,6787481813,4712847066,2630.2501765449047,2630,2.6302501765449047,2621.1204124161573,9.12976412874741,9.12976412874741
5,F6,2,G,6787481813,8555971924,2575.645327465974,2576,2.575645327465974,2566.5155633372265,9.12976412874741,9.12976412874741
5,F6,3,F4,6787481813,10112100807,4577.562807745517,4578,4.577562807745517,4431.852064981456,145.71074276406034,145.71074276406034
5,F6,4,F5,6787481813,1846989986,5238.180803471916,5238,5.238180803471916,5774.598271169094,-536.4174676971779,536.4174676971779
5,F6,6,F7,6787481813,4923789165,5031.305209411401,5031,5.031305209411401,5164.486154010403,-133.18094459900203,133.18094459900203
5,F6,7,S,6787481813,4927903180,11285.204372017943,11285,11.285204372017942,10024.561640767683,1260.64273125026,1260.64273125026
5,F6,8,C,6787481813,329019268,19391.379535935743,19391,19.391379535935744,19225.34090533672,166.03863059902142,166.03863059902142
5,F6,9,J1,6787481813,3673059505,21668.338851506218,21668,21.668338851506217,21496.835855803507,171.5029957027109,171.5029957027109
5,F6,10,J3,6787481813,3427843037,26703.752593748843,26704,26.703752593748842,26489.592038424154,214.16055532468818,214.16055532468818
5,F6,11,J6,6787481813,493991996,26860.49091509047,26860,26.860490915090473,23386.535203538435,3473.9557115520365,3473.9557115520365
5,F6,12,K,6787481813,8485681125,41214.18031825928,41214,41.21418031825928,41414.58939335964,-200.4090751003605,200.4090751003605
6,F7,0,D,4923789165,13599647452,10139.161204414133,10139,10.139161204414133,9679.539917046419,459.6212873677141,459.6212873677141
6,F7,1,E,4923789165,4712847066,7024.422483837934,7024,7.0244224838379345,7019.233851975106,5.188631862828515,5.188631862828515
6,F7,2,G,4923789165,8555971924,6969.817634759003,6970,6.9698176347590035,6964.629002896175,5.188631862828515,5.188631862828515
6,F7,3,F4,4923789165,10112100807,5282.3560643865785,5282,5.282356064386579,5657.198566725518,-374.8425023389391,374.8425023389391
6,F7,4,F5,4923789165,1846989986,9632.353110764947,9632,9.632353110764948,10172.711710728045,-540.3585999630977,540.3585999630977
6,F7,5,F6,4923789165,6787481813,5164.486154010403,5164,5.164486154010403,5031.305209411401,133.18094459900203,133.18094459900203
6,F7,7,S,4923789165,4927903180,12086.924648476557,12087,12.086924648476558,11089.633390999956,997.2912574766015,997.2912574766015
6,F7,8,C,4923789165,329019268,19987.923137031376,19988,19.987923137031377,19096.4209324308,891.5022046005761,891.5022046005761
6,F7,9,J1,4923789165,3673059505,17805.92020650272,17806,17.80592020650272,17635.51527391106,170.40493259166033,170.40493259166033
6,F7,10,J3,4923789165,3427843037,22841.33394874534,22841,22.84133394874534,22628.27145653171,213.06249221363032,213.06249221363032
6,F7,11,J6,4923789165,493991996,22998.07227008697,22998,22.99807227008697,19525.21462164599,3472.8576484409787,3472.8576484409787
6,F7,12,K,4923789165,8485681125,42015.90059471788,42016,42.015900594717884,43149.733089273526,-1133.832494555645,1133.832494555645
7,S,0,D,4927903180,13599647452,10887.018309107436,10887,10.887018309107436,10960.090191568866,-73.0718824614305,73.0718824614305
7,S,1,E,4927903180,4712847066,9937.37616384227,9937,9.93737616384227,10718.959679504655,-781.5835156623853,781.5835156623853
7,S,2,G,4927903180,8555971924,9882.771314763339,9883,9.882771314763339,10664.354830425726,-781.5835156623871,781.5835156623871
7,S,3,F4,4927903180,10112100807,12870.800214162211,12871,12.87080021416221,14303.474595358999,-1432.674381196788,1432.674381196788
7,S,4,F5,4927903180,1846989986,10380.21021545825,10380,10.38021021545825,11453.261985250492,-1073.0517697922423,1073.0517697922423
7,S,5,F6,4927903180,6787481813,10024.561640767683,10025,10.024561640767683,11285.204372017943,-1260.64273125026,1260.64273125026
7,S,6,F7,4927903180,4923789165,11089.633390999956,11090,11.089633390999955,12086.924648476557,-997.2912574766015,997.2912574766015
7,S,8,C,4927903180,329019268,14594.832740792848,14595,14.594832740792848,13766.041723234861,828.7910175579873,828.7910175579873
7,S,9,J1,4927903180,3673059505,20999.385065536986,20999,20.999385065536988,21029.764869388826,-30.379803851839824,30.379803851839824
7,S,10,J3,4927903180,3427843037,26246.6974076961,26247,26.2466974076961,27394.80247208631,-1148.105064390209,1148.105064390209
7,S,11,J6,4927903180,493991996,26403.43572903773,26403,26.40343572903773,22919.464217123754,3483.9715119139764,3483.9715119139764
7,S,12,K,4927903180,8485681125,34532.64228799383,34533,34.53264228799383,32397.36488348779,2135.2774045060432,2135.2774045060432
8,C,0,D,329019268,13599647452,21123.615788580937,21124,21.12361578858094,21758.681124362447,-635.0653357815099,635.0653357815099
8,C,1,E,329019268,4712847066,20173.97364331578,20174,20.173973643315783,20838.302223902578,-664.3285805867963,664.3285805867963
8,C,2,G,329019268,8555971924,20119.36879423685,20119,20.11936879423685,20809.753574156955,-690.3847799201067,690.3847799201067
8,C,3,F4,329019268,10112100807,21986.53387362895,21987,21.98653387362895,22409.649759276803,-423.11588564785416,423.11588564785416
8,C,4,F5,329019268,1846989986,20616.807694931747,20617,20.616807694931747,22251.852918044075,-1635.0452231123272,1635.0452231123272
8,C,5,F6,329019268,6787481813,19225.34090533672,19225,19.225340905336722,19391.379535935743,-166.03863059902142,166.03863059902142
8,C,6,F7,329019268,4923789165,19096.4209324308,19096,19.0964209324308,19987.923137031376,-891.5022046005761,891.5022046005761
8,C,7,S,329019268,4927903180,13766.041723234861,13766,13.766041723234862,14594.832740792848,-828.7910175579873,828.7910175579873
8,C,9,J1,329019268,3673059505,16702.88599082214,16703,16.70288599082214,17585.97644779853,-883.0904569763916,883.0904569763916
